session_duration,pages_visited,referral,device,cart_items,is_returning_user,made_purchase
167,11,Ads,Mobile,2,1,0
7,7,Direct,Desktop,2,1,1
34,6,Google,Tablet,1,0,0
9,6,Ads,Mobile,0,1,0
303,6,Ads,Mobile,1,1,0
113,6,Ads,Mobile,3,1,1
213,5,Google,Mobile,0,1,0
714,8,Ads,Mobile,0,0,1
86,6,Google,Tablet,0,1,0
158,8,Google,Tablet,0,1,0
422,13,Ads,Desktop,0,1,0
77,4,Ads,Mobile,0,0,0
24,1,Direct,Mobile,1,1,1
102,4,Google,Mobile,1,1,1
52,2,Google,Mobile,0,0,1
796,7,Google,Mobile,0,0,0
495,4,Google,Desktop,1,1,1
301,5,Google,Desktop,1,0,1
615,8,Ads,Mobile,2,1,0
488,6,Google,Mobile,1,1,1
61,5,Ads,Mobile,2,1,0
669,2,Google,Mobile,0,1,1
232,6,Ads,Mobile,3,0,0
494,5,Direct,Mobile,2,1,0
679,6,Google,Mobile,0,1,1
114,3,Google,Mobile,1,1,1
34,6,Ads,Mobile,1,0,1
77,6,Ads,Mobile,0,1,0
167,4,Google,Desktop,0,1,1
511,7,Google,Mobile,2,1,0
591,4,Direct,Mobile,1,0,0
2,0,Ads,Mobile,1,0,0
214,9,Ads,Tablet,2,1,1
162,1,Google,Tablet,0,1,0
75,6,Ads,Mobile,2,1,1
38,4,Direct,Tablet,0,1,1
123,5,Ads,Desktop,2,1,1
858,6,Google,Desktop,0,1,1
117,8,Direct,Mobile,1,0,1
219,4,Ads,Mobile,2,1,1
364,5,Google,Mobile,1,1,0
135,10,Ads,Mobile,2,0,1
1070,5,Google,Desktop,0,1,1
984,7,Ads,Desktop,0,0,0
87,6,Direct,Desktop,1,1,0
206,4,Ads,Mobile,1,0,0
107,3,Google,Mobile,1,1,0
100,5,Direct,Mobile,0,1,1
11,4,Direct,Tablet,0,1,0
282,4,Google,Desktop,1,1,1
209,5,Google,Mobile,1,0,0
15,2,Direct,Mobile,2,1,1
97,7,Google,Mobile,3,1,0
716,3,Google,Mobile,1,1,1
82,5,Google,Mobile,2,1,0
46,6,Google,Desktop,1,1,0
201,8,Google,Mobile,1,1,0
1273,5,Ads,Mobile,3,0,1
83,3,Google,Mobile,0,1,1
334,3,Ads,Mobile,0,0,0
430,5,Google,Mobile,0,1,0
81,7,Google,Mobile,1,1,0
390,5,Ads,Mobile,0,0,0
137,5,Ads,Mobile,0,0,1
300,10,Direct,Tablet,1,0,0
301,2,Google,Mobile,0,1,0
230,6,Google,Tablet,2,1,0
28,7,Google,Mobile,1,0,0
541,4,Ads,Desktop,0,1,0
116,11,Google,Mobile,2,1,1
61,5,Direct,Desktop,5,0,0
12,4,Direct,Mobile,2,1,0
268,1,Google,Mobile,1,0,0
339,11,Direct,Mobile,1,1,0
5,3,Google,Mobile,1,1,1
215,2,Google,Tablet,0,1,0
77,7,Ads,Mobile,1,1,1
310,5,Google,Tablet,0,1,0
57,1,Google,Desktop,0,1,0
352,6,Google,Desktop,1,0,1
146,4,Ads,Mobile,1,0,0
828,9,Google,Mobile,1,1,1
44,4,Ads,Mobile,1,1,0
125,9,Google,Desktop,2,1,0
36,5,Ads,Tablet,0,0,0
775,2,Google,Mobile,2,1,1
629,8,Direct,Desktop,2,1,1
89,2,Direct,Mobile,1,1,0
323,7,Direct,Tablet,3,1,1
509,9,Google,Desktop,0,0,1
243,3,Google,Mobile,0,0,1
226,3,Google,Desktop,4,0,0
83,6,Direct,Desktop,2,1,0
29,7,Google,Desktop,2,1,0
682,2,Ads,Mobile,1,1,1
692,9,Ads,Desktop,2,1,0
300,5,Google,Mobile,0,0,0
124,5,Ads,Mobile,1,0,0
128,3,Google,Mobile,0,1,0
388,6,Google,Mobile,1,1,1
682,6,Google,Tablet,1,1,0
654,4,Google,Mobile,1,0,0
454,6,Google,Desktop,1,0,0
308,8,Ads,Mobile,1,1,0
26,4,Direct,Mobile,4,1,1
52,6,Ads,Mobile,1,0,0
686,4,Google,Mobile,1,0,0
279,9,Google,Mobile,1,0,0
2,5,Ads,Tablet,2,0,0
32,7,Direct,Mobile,1,1,1
326,2,Google,Mobile,2,1,1
1,4,Google,Mobile,1,1,1
52,4,Google,Mobile,1,0,0
238,7,Direct,Desktop,2,1,1
353,3,Ads,Mobile,1,0,0
316,4,Ads,Desktop,0,1,1
76,3,Google,Mobile,0,0,0
373,3,Google,Mobile,1,0,0
81,2,Ads,Tablet,1,1,0
118,10,Ads,Desktop,1,1,0
411,3,Direct,Desktop,0,1,1
314,2,Ads,Mobile,4,1,1
567,6,Google,Mobile,1,1,0
321,4,Ads,Desktop,2,1,1
252,6,Ads,Mobile,0,1,1
29,2,Ads,Mobile,0,1,0
137,4,Direct,Mobile,0,1,0
92,9,Google,Desktop,1,0,0
83,10,Ads,Desktop,0,0,1
1083,5,Google,Mobile,1,0,0
149,2,Google,Desktop,0,1,1
667,3,Google,Mobile,0,0,0
299,7,Ads,Desktop,0,1,1
475,6,Direct,Mobile,2,1,0
209,4,Google,Desktop,2,1,1
258,2,Direct,Mobile,0,1,0
203,7,Google,Mobile,2,1,1
65,6,Google,Desktop,2,0,1
384,7,Ads,Mobile,2,0,0
98,7,Ads,Mobile,0,1,0
7,3,Google,Mobile,1,0,1
311,3,Direct,Tablet,2,1,0
58,4,Ads,Desktop,1,1,1
846,5,Direct,Desktop,0,1,1
923,2,Direct,Desktop,2,0,0
739,4,Direct,Mobile,3,1,0
138,7,Google,Mobile,1,0,1
4,5,Direct,Desktop,0,1,0
790,6,Direct,Mobile,2,0,1
167,4,Google,Tablet,2,0,0
1020,9,Direct,Mobile,0,1,0
994,2,Ads,Mobile,1,1,1
575,6,Ads,Mobile,0,1,1
104,4,Google,Mobile,0,0,1
145,3,Google,Desktop,2,1,0
571,6,Ads,Mobile,2,1,0
114,7,Google,Mobile,1,1,1
55,8,Google,Mobile,1,0,0
244,9,Google,Mobile,1,0,1
825,5,Direct,Mobile,1,1,0
357,4,Google,Mobile,2,1,1
253,3,Ads,Mobile,1,0,0
30,7,Direct,Mobile,0,1,1
286,4,Google,Mobile,1,0,0
1383,8,Google,Mobile,5,0,1
45,8,Google,Mobile,0,1,0
219,1,Direct,Desktop,0,0,0
629,5,Google,Mobile,0,0,0
405,4,Ads,Desktop,1,0,1
358,3,Ads,Desktop,0,0,0
363,2,Google,Mobile,1,1,0
133,8,Ads,Mobile,0,0,0
104,8,Google,Mobile,2,1,1
497,3,Google,Tablet,1,1,1
498,4,Google,Mobile,0,1,0
605,12,Google,Desktop,0,1,1
733,3,Google,Desktop,0,1,1
214,3,Google,Desktop,0,1,0
208,4,Direct,Mobile,1,1,1
480,3,Google,Mobile,1,1,1
314,4,Ads,Mobile,0,1,0
363,6,Google,Mobile,3,1,0
476,4,Google,Mobile,2,0,0
662,3,Ads,Desktop,1,1,1
123,8,Ads,Mobile,0,1,1
141,2,Google,Desktop,0,1,0
29,3,Ads,Desktop,2,0,0
259,7,Google,Mobile,1,0,0
10,3,Google,Mobile,4,1,0
187,7,Ads,Desktop,0,1,1
234,5,Google,Mobile,1,0,0
101,2,Google,Mobile,0,1,0
268,9,Ads,Mobile,1,1,1
9,4,Google,Mobile,0,0,0
11,3,Ads,Desktop,1,1,1
518,1,Google,Mobile,1,1,1
133,2,Direct,Mobile,1,0,0
40,6,Google,Mobile,1,1,0
221,10,Google,Desktop,1,1,1
440,6,Ads,Desktop,0,0,1
72,6,Google,Mobile,0,0,1
292,2,Direct,Mobile,1,1,1
26,4,Ads,Mobile,0,1,1
15,5,Google,Desktop,2,0,0
227,8,Google,Desktop,1,1,1
233,5,Google,Mobile,0,1,0
304,3,Direct,Mobile,1,1,0
388,1,Google,Mobile,2,0,0
1117,7,Google,Desktop,6,1,0
217,7,Google,Mobile,2,0,0
117,4,Google,Mobile,1,0,0
475,4,Google,Tablet,0,1,0
94,4,Direct,Mobile,0,1,0
173,9,Ads,Mobile,1,0,0
24,1,Ads,Desktop,0,0,0
7,3,Direct,Mobile,2,1,1
986,4,Google,Tablet,1,1,0
542,3,Direct,Desktop,3,1,1
357,3,Google,Mobile,0,1,0
157,8,Google,Desktop,0,1,1
57,11,Google,Mobile,0,0,1
51,4,Ads,Mobile,1,1,1
86,2,Google,Mobile,0,0,0
239,3,Ads,Mobile,0,1,0
376,4,Google,Tablet,2,1,0
323,2,Ads,Mobile,1,1,1
98,7,Ads,Desktop,0,1,1
929,2,Direct,Mobile,0,1,1
401,11,Direct,Desktop,0,0,1
242,5,Ads,Mobile,1,0,1
283,5,Direct,Desktop,1,0,1
163,4,Ads,Desktop,0,0,0
85,4,Ads,Mobile,1,1,1
132,4,Google,Mobile,1,1,1
425,3,Google,Mobile,5,1,0
4,5,Google,Desktop,4,0,1
37,9,Ads,Desktop,3,1,0
14,5,Google,Desktop,0,1,0
12,2,Google,Desktop,0,1,1
580,6,Google,Desktop,0,1,1
364,7,Google,Mobile,1,0,0
192,5,Google,Desktop,0,0,0
30,7,Ads,Desktop,1,0,1
202,7,Google,Mobile,0,1,1
192,8,Google,Mobile,1,1,1
57,7,Google,Tablet,0,0,0
170,3,Google,Desktop,1,0,1
152,4,Google,Tablet,0,1,1
287,4,Google,Desktop,1,0,0
302,3,Google,Mobile,0,0,1
13,7,Google,Mobile,0,0,1
140,7,Google,Desktop,1,0,0
294,3,Ads,Desktop,1,0,0
209,7,Google,Mobile,1,1,0
582,8,Ads,Mobile,1,0,1
322,3,Ads,Mobile,0,0,1
53,4,Google,Mobile,1,0,0
21,7,Google,Desktop,0,1,1
308,1,Ads,Desktop,1,1,0
8,4,Google,Desktop,0,1,0
264,2,Google,Mobile,0,0,0
845,2,Ads,Mobile,3,1,1
257,5,Ads,Mobile,0,1,0
147,6,Google,Mobile,1,1,0
309,5,Direct,Mobile,3,0,1
183,4,Ads,Tablet,1,1,1
236,5,Google,Desktop,2,0,1
851,7,Ads,Mobile,1,1,1
146,4,Direct,Mobile,2,1,1
974,2,Ads,Mobile,1,1,0
707,9,Direct,Desktop,0,1,0
65,4,Google,Desktop,0,1,0
21,3,Google,Desktop,1,1,0
31,4,Google,Tablet,3,0,1
5,4,Ads,Mobile,1,1,1
29,6,Google,Mobile,0,0,1
344,4,Google,Mobile,0,1,0
22,6,Google,Mobile,1,1,0
115,9,Ads,Desktop,0,1,1
559,3,Direct,Mobile,1,1,0
7,3,Google,Mobile,1,0,0
505,8,Google,Desktop,0,0,1
99,6,Google,Mobile,2,0,1
37,1,Google,Mobile,1,1,0
357,7,Ads,Mobile,1,1,1
297,5,Ads,Mobile,1,1,1
629,7,Ads,Desktop,0,1,1
398,5,Google,Mobile,0,1,0
488,2,Google,Mobile,0,0,0
99,6,Google,Desktop,0,0,0
58,7,Google,Mobile,2,0,0
416,5,Google,Mobile,1,1,1
493,6,Google,Mobile,2,1,1
1397,5,Google,Mobile,0,0,0
159,6,Ads,Tablet,1,0,0
139,3,Ads,Mobile,1,1,1
449,4,Google,Mobile,2,1,1
125,5,Direct,Mobile,0,1,0
801,8,Google,Mobile,0,0,0
586,10,Google,Mobile,0,1,0
168,5,Ads,Mobile,1,1,0
416,3,Google,Desktop,0,1,1
421,7,Ads,Mobile,1,1,1
32,2,Direct,Mobile,1,1,0
698,6,Google,Desktop,1,1,0
211,6,Ads,Mobile,1,0,1
525,6,Google,Mobile,0,0,0
115,5,Google,Tablet,0,0,1
677,0,Google,Desktop,1,0,1
147,6,Ads,Mobile,0,1,1
3,4,Google,Desktop,0,1,1
707,6,Google,Mobile,1,0,0
28,3,Google,Tablet,0,1,0
115,6,Google,Mobile,1,1,1
899,3,Google,Desktop,1,1,1
902,5,Ads,Mobile,1,0,1
255,2,Direct,Mobile,2,1,1
299,4,Google,Desktop,0,1,0
178,7,Ads,Desktop,3,1,1
104,6,Direct,Mobile,0,1,0
119,7,Google,Mobile,2,0,0
334,6,Google,Mobile,1,1,0
418,2,Direct,Desktop,1,1,0
470,0,Direct,Mobile,0,1,0
467,4,Google,Mobile,0,1,1
28,5,Ads,Desktop,1,1,0
204,2,Ads,Desktop,2,0,1
17,3,Ads,Tablet,1,1,0
239,6,Direct,Tablet,1,1,0
174,9,Ads,Mobile,0,0,0
655,6,Ads,Desktop,0,1,0
129,4,Direct,Mobile,0,1,1
37,2,Google,Mobile,1,1,1
46,6,Ads,Desktop,0,1,0
430,7,Ads,Mobile,1,0,0
288,2,Direct,Desktop,1,1,1
31,6,Direct,Mobile,0,0,1
26,8,Ads,Mobile,1,1,0
362,4,Google,Mobile,0,1,0
22,6,Ads,Mobile,1,0,0
517,6,Ads,Tablet,0,1,0
367,1,Ads,Mobile,2,1,0
25,7,Google,Desktop,2,1,1
26,6,Google,Mobile,1,1,0
1294,5,Google,Mobile,0,1,0
140,3,Google,Tablet,0,0,0
138,7,Ads,Tablet,1,1,1
502,4,Direct,Mobile,0,0,1
882,2,Direct,Desktop,0,0,0
1280,7,Ads,Mobile,1,0,1
419,5,Ads,Mobile,0,1,1
141,8,Ads,Desktop,2,0,1
26,7,Google,Mobile,1,0,1
450,5,Google,Tablet,0,1,1
245,4,Ads,Desktop,1,1,0
165,3,Google,Desktop,1,0,0
710,9,Ads,Mobile,2,1,1
35,4,Ads,Mobile,1,1,0
203,8,Direct,Desktop,1,1,0
3,4,Ads,Mobile,0,0,0
189,2,Direct,Mobile,1,1,0
17,2,Ads,Mobile,0,0,1
37,5,Direct,Mobile,0,1,1
37,8,Direct,Desktop,0,1,0
314,5,Google,Desktop,1,1,0
411,6,Direct,Mobile,0,1,0
262,3,Google,Desktop,0,0,1
982,5,Ads,Desktop,4,0,1
140,8,Direct,Desktop,1,1,1
100,4,Google,Mobile,0,1,0
608,5,Direct,Mobile,0,1,1
75,1,Direct,Mobile,0,1,1
990,5,Direct,Mobile,0,0,1
3,6,Direct,Mobile,2,0,1
1050,3,Google,Mobile,0,0,0
13,6,Google,Mobile,0,0,1
665,5,Ads,Desktop,1,1,0
225,5,Google,Mobile,2,1,1
1487,6,Direct,Mobile,1,1,0
22,6,Google,Desktop,0,1,1
242,7,Ads,Mobile,3,1,1
1045,6,Google,Tablet,0,0,0
222,5,Google,Mobile,3,1,1
297,6,Ads,Mobile,4,0,0
356,6,Ads,Mobile,0,1,0
181,5,Google,Mobile,0,0,0
296,10,Google,Mobile,0,1,1
263,4,Ads,Tablet,0,1,1
694,8,Direct,Desktop,0,1,0
13,6,Google,Mobile,2,1,0
98,4,Ads,Tablet,0,0,0
901,5,Google,Mobile,1,0,0
662,4,Direct,Desktop,1,0,1
182,6,Google,Desktop,0,1,1
290,2,Google,Mobile,1,1,0
97,2,Google,Mobile,1,0,1
62,9,Ads,Mobile,0,1,1
186,1,Direct,Tablet,1,1,0
130,3,Direct,Mobile,1,0,0
262,4,Ads,Mobile,1,1,1
24,3,Google,Desktop,1,1,1
1099,2,Google,Desktop,0,1,0
1285,6,Direct,Mobile,3,1,0
359,2,Ads,Desktop,0,1,1
230,7,Google,Tablet,2,0,0
111,10,Ads,Mobile,0,0,0
504,1,Google,Tablet,1,1,1
346,2,Direct,Mobile,0,1,0
53,4,Ads,Mobile,0,0,1
725,4,Google,Mobile,3,0,0
518,8,Google,Mobile,2,1,0
897,6,Direct,Tablet,1,1,1
388,2,Google,Mobile,2,1,1
285,6,Google,Mobile,1,1,1
162,8,Google,Mobile,1,1,1
809,8,Google,Mobile,1,1,1
603,2,Ads,Tablet,1,1,1
13,5,Ads,Desktop,1,1,0
8,4,Direct,Desktop,0,1,1
141,3,Ads,Desktop,2,0,1
499,8,Ads,Mobile,1,1,1
1309,3,Direct,Mobile,2,1,1
48,7,Direct,Mobile,1,0,0
270,2,Ads,Tablet,1,1,0
143,1,Google,Desktop,0,0,0
1051,5,Google,Mobile,2,1,1
553,4,Google,Mobile,2,0,1
546,4,Direct,Tablet,1,1,0
189,4,Google,Mobile,1,1,0
160,3,Ads,Mobile,0,0,1
95,0,Direct,Mobile,0,1,0
17,2,Ads,Desktop,1,0,0
600,3,Google,Desktop,3,1,1
502,4,Google,Mobile,1,0,0
2451,2,Direct,Mobile,1,0,0
1708,6,Ads,Mobile,1,0,0
243,5,Ads,Mobile,1,1,1
439,1,Google,Tablet,0,1,0
868,8,Google,Tablet,2,1,1
568,6,Google,Mobile,1,0,1
85,1,Ads,Mobile,1,1,1
179,9,Ads,Desktop,1,0,0
41,3,Direct,Mobile,1,1,1
924,9,Direct,Mobile,0,1,1
279,4,Ads,Mobile,1,1,0
77,3,Direct,Desktop,0,0,0
334,7,Direct,Tablet,2,0,0
288,5,Ads,Mobile,2,1,0
133,6,Google,Mobile,0,0,0
36,3,Google,Mobile,1,1,0
334,7,Google,Mobile,2,1,0
220,5,Direct,Desktop,3,1,1
443,8,Direct,Mobile,1,0,0
220,7,Google,Mobile,1,1,1
573,3,Google,Desktop,2,1,0
240,5,Ads,Mobile,0,1,1
246,9,Google,Mobile,0,1,1
627,5,Google,Mobile,1,0,0
154,6,Ads,Desktop,1,1,0
43,4,Google,Mobile,3,1,1
8,6,Google,Tablet,4,1,0
422,6,Direct,Mobile,0,0,1
290,5,Ads,Tablet,0,1,1
365,6,Google,Mobile,1,0,0
71,4,Direct,Mobile,0,0,0
43,4,Direct,Tablet,0,0,0
4,7,Google,Desktop,1,1,0
129,7,Google,Mobile,2,1,1
267,5,Google,Mobile,0,1,0
149,3,Direct,Mobile,0,1,0
172,3,Direct,Mobile,0,1,1
703,3,Google,Desktop,1,0,1
128,2,Ads,Desktop,5,1,1
216,6,Ads,Mobile,4,1,0
459,3,Google,Mobile,0,0,0
151,3,Ads,Mobile,0,1,1
291,11,Google,Mobile,2,0,0
594,4,Google,Mobile,3,1,1
895,10,Google,Mobile,2,1,1
47,8,Direct,Desktop,1,0,0
783,3,Direct,Mobile,2,1,1
203,7,Direct,Mobile,0,1,1
89,5,Direct,Desktop,0,1,1
184,3,Google,Desktop,0,0,1
1174,5,Direct,Mobile,1,0,0
203,6,Google,Mobile,0,0,0
119,5,Direct,Mobile,3,1,0
301,5,Ads,Desktop,0,1,0
82,2,Google,Mobile,1,1,1
23,6,Google,Desktop,0,1,1
41,5,Google,Desktop,1,1,0
41,4,Ads,Desktop,0,0,0
49,7,Ads,Mobile,2,1,1
44,5,Direct,Mobile,1,1,1
307,6,Google,Mobile,1,0,1
60,6,Ads,Tablet,2,0,1
127,6,Ads,Mobile,1,0,0
681,3,Google,Desktop,2,1,1
192,5,Google,Tablet,1,1,1
330,4,Direct,Tablet,0,1,1
56,8,Ads,Mobile,0,1,1
64,3,Google,Desktop,2,1,1
12,2,Google,Desktop,1,1,1
55,1,Google,Desktop,2,0,1
97,7,Google,Mobile,1,1,1
58,3,Google,Desktop,1,1,0
27,2,Google,Mobile,1,0,1
38,4,Google,Mobile,3,1,0
185,6,Google,Desktop,0,0,0
69,2,Direct,Mobile,2,0,1
135,7,Google,Mobile,0,1,0
210,4,Ads,Mobile,2,1,1
351,10,Google,Mobile,0,0,1
12,8,Google,Mobile,0,1,1
481,6,Google,Tablet,1,1,1
296,7,Google,Mobile,1,0,0
25,3,Direct,Mobile,1,0,0
620,4,Google,Mobile,0,0,1
761,8,Google,Mobile,0,1,1
18,5,Google,Desktop,1,1,1
97,4,Google,Mobile,2,1,1
492,4,Ads,Desktop,0,1,1
413,5,Google,Mobile,2,1,0
61,5,Google,Desktop,2,1,0
70,4,Google,Desktop,0,0,1
138,3,Ads,Desktop,0,0,1
198,6,Ads,Desktop,0,0,0
288,8,Google,Tablet,0,1,1
138,5,Ads,Tablet,1,1,0
186,5,Google,Desktop,2,1,0
412,3,Google,Desktop,1,1,0
11,5,Direct,Mobile,1,0,0
87,5,Google,Mobile,1,1,0
374,10,Ads,Mobile,2,1,0
676,4,Google,Desktop,0,1,0
215,4,Google,Mobile,2,0,0
227,9,Ads,Mobile,1,0,1
34,5,Ads,Desktop,1,0,0
177,4,Ads,Mobile,0,0,1
228,2,Ads,Mobile,0,1,0
83,4,Ads,Mobile,2,1,1
94,4,Ads,Tablet,0,1,0
142,5,Ads,Mobile,0,1,0
6,2,Direct,Mobile,1,0,1
116,8,Ads,Mobile,0,0,1
71,3,Google,Mobile,3,0,1
119,5,Google,Mobile,0,1,0
38,4,Google,Desktop,0,1,0
663,5,Google,Mobile,2,1,0
270,7,Google,Desktop,1,0,0
340,6,Google,Desktop,2,1,1
467,7,Direct,Mobile,0,1,1
207,3,Google,Tablet,0,1,0
27,8,Google,Desktop,0,1,0
231,3,Ads,Mobile,0,1,1
265,6,Google,Mobile,0,0,0
410,6,Direct,Mobile,1,1,1
169,6,Ads,Desktop,1,0,0
40,3,Ads,Mobile,0,0,0
100,1,Google,Desktop,1,1,0
135,6,Google,Mobile,2,1,0
311,5,Google,Mobile,0,0,0
253,2,Ads,Mobile,0,0,1
132,4,Direct,Tablet,1,1,1
1291,10,Ads,Mobile,4,1,1
279,3,Ads,Desktop,0,0,1
81,11,Direct,Desktop,0,1,0
32,2,Direct,Mobile,0,1,1
49,3,Ads,Mobile,1,1,1
84,3,Google,Desktop,0,1,0
52,2,Google,Desktop,0,0,1
61,3,Google,Mobile,5,1,1
100,6,Google,Tablet,0,1,1
57,6,Google,Mobile,1,1,0
681,7,Direct,Mobile,2,1,0
25,3,Ads,Mobile,0,0,1
223,5,Ads,Desktop,0,1,0
158,2,Google,Mobile,0,1,1
1211,5,Google,Desktop,0,1,0
35,4,Google,Mobile,0,0,1
152,1,Google,Mobile,2,0,0
1046,3,Google,Desktop,2,0,1
601,3,Google,Desktop,0,0,0
509,8,Google,Mobile,0,0,1
89,10,Google,Mobile,0,0,0
56,4,Google,Desktop,0,0,1
331,5,Google,Desktop,0,0,1
795,6,Direct,Mobile,1,1,0
244,3,Ads,Desktop,3,0,0
254,11,Ads,Desktop,3,0,0
98,5,Ads,Desktop,2,1,1
440,5,Ads,Mobile,4,0,1
62,3,Ads,Mobile,1,1,1
117,7,Direct,Mobile,3,1,1
166,2,Google,Desktop,1,0,0
212,5,Ads,Mobile,1,0,0
83,4,Direct,Mobile,3,1,0
36,6,Google,Tablet,2,0,0
282,4,Google,Mobile,3,1,0
102,5,Google,Mobile,1,0,1
261,3,Direct,Tablet,0,1,0
50,5,Google,Mobile,2,0,0
196,6,Ads,Desktop,0,1,0
228,3,Direct,Mobile,1,0,0
15,7,Google,Mobile,1,0,0
123,4,Google,Mobile,1,1,0
43,2,Direct,Tablet,2,0,1
19,12,Direct,Desktop,2,0,1
1380,4,Ads,Mobile,2,1,0
116,2,Google,Desktop,1,1,1
498,7,Direct,Mobile,1,0,0
88,1,Direct,Mobile,2,1,0
343,0,Ads,Mobile,2,1,0
428,3,Google,Desktop,1,0,1
271,10,Ads,Mobile,2,1,1
191,2,Google,Tablet,0,1,1
159,9,Google,Mobile,1,1,1
128,3,Ads,Mobile,1,1,0
795,6,Google,Desktop,2,1,0
532,5,Google,Desktop,3,1,1
1005,3,Ads,Mobile,2,1,0
39,8,Google,Mobile,1,0,1
393,4,Google,Desktop,1,0,0
835,5,Google,Mobile,2,1,0
59,4,Ads,Mobile,0,1,1
20,4,Google,Mobile,2,1,0
405,3,Google,Desktop,0,1,0
256,5,Google,Mobile,1,1,0
553,3,Google,Mobile,4,0,1
45,7,Direct,Mobile,1,0,1
475,2,Google,Mobile,0,0,1
67,7,Ads,Mobile,1,1,1
53,4,Ads,Desktop,0,0,1
53,3,Google,Mobile,1,0,0
505,3,Google,Mobile,1,0,0
328,8,Direct,Desktop,0,1,0
222,10,Google,Tablet,1,0,1
133,5,Google,Desktop,2,1,1
629,8,Ads,Tablet,0,1,0
149,1,Google,Mobile,0,1,0
508,6,Ads,Desktop,3,1,0
173,2,Google,Tablet,1,0,0
141,4,Ads,Mobile,2,1,0
186,4,Ads,Mobile,1,1,0
107,8,Ads,Desktop,3,0,1
413,7,Google,Mobile,2,0,0
209,4,Ads,Mobile,3,1,0
79,7,Ads,Desktop,3,0,1
689,5,Google,Mobile,2,1,1
145,7,Google,Mobile,0,0,0
235,3,Google,Tablet,4,0,1
710,4,Ads,Mobile,1,1,1
293,8,Direct,Desktop,2,0,0
37,7,Ads,Mobile,2,0,1
843,2,Ads,Tablet,1,0,0
